Table Name:,PubG-2010 Male Employee
Table Identity:,3398
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, public-pension-amount-exposure.xlsx, Sheet 'PubG-2010', https://www.soa.org/resources/experience-studies/2018/public-pension-amount-exposure.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pub-2010 Amount-weighted General Mortality Table - Male Employee. Ages 18-80. Base Year July 1, 2010 - June 30, 2011."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of public retirement plans in the United States. The final dataset upon which this study has been based includes approximately 46 million life-years of exposure and 580 thousand deaths from public pension systems across the United States. Data certified: 09/2018.
Keywords:,"Aggregate,Annuitant Mortality,United States of America"

Table # ,1
Table Description:,"Pub-2010 Amount-weighted General Mortality Table - Male Employee. Ages 18-80. Base Year July 1, 2010 - June 30, 2011."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",18
"Row, Column (if applicable)->MaxScaleValue:",80
"Row, Column (if applicable)->Increment:",1

Row\Column,1
18,0.00036
19,0.00038
20,0.00037
21,0.00036
22,0.00033
23,0.00031
24,0.00029
25,0.00028
26,0.0003
27,0.00031
28,0.00033
29,0.00034
30,0.00036
31,0.00038
32,0.0004
33,0.00042
34,0.00044
35,0.00047
36,0.0005
37,0.00053
38,0.00057
39,0.00061
40,0.00066
41,0.00071
42,0.00077
43,0.00083
44,0.0009
45,0.00098
46,0.00107
47,0.00116
48,0.00127
49,0.00138
50,0.00149
51,0.00162
52,0.00175
53,0.00189
54,0.00203
55,0.00219
56,0.00236
57,0.00255
58,0.00275
59,0.00296
60,0.00319
61,0.00344
62,0.00371
63,0.00401
64,0.00433
65,0.00468
66,0.00506
67,0.00548
68,0.00594
69,0.00646
70,0.00703
71,0.00767
72,0.00837
73,0.00915
74,0.01001
75,0.01096
76,0.012
77,0.01315
78,0.0144
79,0.01578
80,0.0173
